Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-bih-cei-therapieziele-onkologie.json	44753	-	0	0	0	0	0	0	20	195	0	0	0	0	0	0	0	1	0	0	35	264	462	0	0	0	10	0	3
fsh-generated/resources/Bundle-BundleCRCPalliativ.json	28026	8	44	0	3	0	0	0	4	116	0	0	0	0	0	0	0	1	0	0	24	91	317	0	0	0	0	0	1
fsh-generated/resources/Bundle-BundleMammaNeoadjuvant.json	61207	14	22	0	0	0	0	0	6	902	0	0	0	0	0	0	0	1	0	0	16	189	567	0	0	0	0	0	1
fsh-generated/resources/CarePlan-CarePlanCRCPalliativ.json	1973	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	18	49	0	0	0	0	0	1
fsh-generated/resources/CarePlan-CarePlanMammaDiagnostik.json	1878	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	11	34	68	0	0	0	0	0	0
fsh-generated/resources/CarePlan-CarePlanMammaNachsorge.json	1123	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	12	32	0	0	0	0	0	0
fsh-generated/resources/CarePlan-CarePlanMammaNeoadjuvant.json	2149	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	22	61	0	0	0	0	0	0
fsh-generated/resources/CarePlan-DiagnostikCarePlanCRC.json	1088	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	12	27	0	0	0	0	0	0
fsh-generated/resources/CareTeam-TumorboardCRC.json	412	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	7	20	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-enlist-change-type.json	2324	1	0	0	1	0	0	0	1	8	0	0	1	0	1	0	0	0	0	0	11	17	121	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-enlist-countable.json	1837	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	14	89	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-enlist-lot-setting.json	1927	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	15	80	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-onko-therapy-goal-type.json	1867	1	0	0	53	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	11	17	73	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-ConceptMapOnkoTherapyGoalTypeSct.json	3490	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	12	30	65	0	0	0	1	0	0
fsh-generated/resources/Condition-ConditionCRC.json	1323	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	11	24	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionMamma.json	1449	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	11	18	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-DiagnosticReportHistologieCRC.json	481	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	7	14	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-TherapielinieCRCErstlinie.json	3038	1	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	15	33	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-TherapielinieChemo.json	3230	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	6	15	33	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-TherapielinieOperation.json	2023	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	14	31	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-TherapieliniePembroAdjuvant.json	2158	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	13	29	0	0	0	0	0	1
fsh-generated/resources/Goal-DiagnosticGoal.json	4597	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	4	20	24	0	0	0	0	0	0
fsh-generated/resources/Goal-FollowUpGoal.json	4440	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	22	27	0	0	0	0	0	0
fsh-generated/resources/Goal-TherapiezielCRCErhaltung.json	2495	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	12	18	0	0	0	0	0	0
