URL,Version,Status,OIDs,Name,Title,Description,Used
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/servicerequest-category,ValueSet/condition-stage,ValueSet/clinical-findings,ValueSet/participant-role,ValueSet/mii-vs-diagnose-bodystructure-snomed,ValueSet/lebensphase-de,ConceptMap/ConceptMapOnkoTherapyGoalTypeSct,ValueSet/onko-therapy-phase,ValueSet/condition-predecessor,ValueSet/medication-codes,ValueSet/mii-vs-diagnose-diagnosecodes-snomed,ValueSet/body-site,ValueSet/manifestation-or-symptom,ValueSet/goal-start-event,ValueSet/procedure-code,ValueSet/onko-therapy-intent,ValueSet/medication-as-needed-reason,ValueSet/performer-role,ValueSet/care-plan-activity-outcome,ValueSet/procedure-reason,ValueSet/onko-therapy-line-type,ValueSet/condition-code,ValueSet/condition-stage-type,ValueSet/null,ValueSet/care-plan-category,ValueSet/servicerequest-orderdetail,ValueSet/condition-severity"
https://bih-cei.de/fhir/therapieziele-onkologie/CodeSystem/enlist-countable,1.0.0-ballot,draft,,EnlistCountable,EnLiST-Zählstatus,"Zählstatus einer Behandlungslinie nach EnLiST (Saini et al., Ann Oncol 2026): in der LoT-Zählung, außerhalb der Zählung oder investigationale Studientherapie (iLoT).","ValueSet/enlist-countable"
https://bih-cei.de/fhir/therapieziele-onkologie/CodeSystem/onko-therapy-goal-type,1.0.0-ballot,draft,,OnkoTherapyGoalType,Onkologische Therapieziel-Art,"Codiert die Art eines onkologischen Therapieziels (Heilung, Lebensverlängerung, Symptomkontrolle, Lebensqualität, Funktionserhalt). Studienteilnahme ist bewusst keine Zielart: Sie ist ein Mittel (investigationale Therapielinie, iLoT nach EnLiST), kein patientenseitiger Zielzustand (vgl. ADR-0015).","ValueSet/onko-therapy-goal-type,ConceptMap/ConceptMapOnkoTherapyGoalTypeSct"
